episode,timestep,return,length,epsilon,loss,mean_q,success
0,999,-1000.0,1000,0.9810000000000088,0,0,0
1,1999,-1000.0,1000,0.9620000000000175,6.531242979690433e-05,-1.2664116621017456,0
2,2999,-1000.0,1000,0.9430000000000263,6.453614332713187e-05,-2.1978542804718018,0
3,3999,-1000.0,1000,0.924000000000035,0.00013123141252435744,-3.1527833938598633,0
4,4999,-1000.0,1000,0.9050000000000438,0.0039910562336444855,-4.125153541564941,0
5,5999,-1000.0,1000,0.8860000000000525,0.00027424184372648597,-5.085333824157715,0
6,6999,-1000.0,1000,0.8670000000000613,0.0012659154599532485,-6.017602443695068,0
7,7999,-1000.0,1000,0.84800000000007,0.0016711186617612839,-7.030642986297607,0
8,8999,-1000.0,1000,0.8290000000000788,0.5196972489356995,-7.872649192810059,0
9,9999,-1000.0,1000,0.8100000000000875,0.005107874982059002,-8.606832504272461,0
10,10999,-1000.0,1000,0.7910000000000963,0.0006056319689378142,-9.533834457397461,0
11,11999,-1000.0,1000,0.772000000000105,0.000688946689479053,-10.476470947265625,0
12,12999,-1000.0,1000,0.7530000000001138,0.0013652282068505883,-11.327640533447266,0
13,13999,-1000.0,1000,0.7340000000001226,0.0023818137124180794,-12.18642807006836,0
14,14999,-1000.0,1000,0.7150000000001313,0.008064990863204002,-13.095693588256836,0
15,15999,-1000.0,1000,0.6960000000001401,0.025423849001526833,-13.712608337402344,0
16,16999,-1000.0,1000,0.6770000000001488,0.005620395299047232,-14.560323715209961,0
17,17840,-841.0,841,0.6610210000001562,0.007111670915037394,-15.191041946411133,1
18,18840,-1000.0,1000,0.6420210000001649,0.005711558274924755,-16.026233673095703,0
19,19840,-1000.0,1000,0.6230210000001737,0.004443759564310312,-16.839252471923828,0
20,20840,-1000.0,1000,0.6040210000001824,0.0017587026813998818,-17.768068313598633,0
21,21840,-1000.0,1000,0.5850210000001912,4.847006320953369,-18.26681900024414,0
22,22671,-831.0,831,0.5692320000001985,0.004975338466465473,-19.26006507873535,1
23,23253,-582.0,582,0.5581740000002036,0.003306430298835039,-19.668182373046875,1
24,24253,-1000.0,1000,0.5391740000002123,0.003114494727924466,-20.322038650512695,0
25,25076,-823.0,823,0.5235370000002195,0.04536931961774826,-20.823711395263672,1
26,25764,-688.0,688,0.5104650000002255,0.029382193461060524,-20.967666625976562,1
27,26339,-575.0,575,0.4995400000002306,0.0308628361672163,-21.577285766601562,1
28,27319,-980.0,980,0.48092000000023916,0.009254610165953636,-22.088632583618164,1
29,28102,-783.0,783,0.466043000000246,0.02762271836400032,-22.9376220703125,1
30,28812,-710.0,710,0.4525530000002522,0.03409445285797119,-23.038394927978516,1
31,29489,-677.0,677,0.43969000000025815,0.03897184133529663,-23.491348266601562,1
32,30194,-705.0,705,0.4262950000002643,0.00863066129386425,-24.38235092163086,1
33,30896,-702.0,702,0.41295700000027047,0.08662186563014984,-23.835649490356445,1
34,31610,-714.0,714,0.3993910000002767,2.9180638790130615,-24.518917083740234,1
35,32021,-411.0,411,0.3915820000002803,0.032535143196582794,-25.06694793701172,1
36,32266,-245.0,245,0.38692700000028246,0.008057278580963612,-25.319252014160156,1
37,32679,-413.0,413,0.3790800000002861,0.03369826078414917,-25.31722640991211,1
38,33249,-570.0,570,0.36825000000029107,0.10100579261779785,-25.786258697509766,1
39,33736,-487.0,487,0.35899700000029533,6.261528968811035,-25.814327239990234,1
40,34331,-595.0,595,0.34769200000030054,0.018910476937890053,-26.890689849853516,1
41,34965,-634.0,634,0.3356460000003061,0.018176816403865814,-26.418983459472656,1
42,35197,-232.0,232,0.3312380000003081,0.028180528432130814,-27.064334869384766,1
43,35720,-523.0,523,0.3213010000003127,0.010431982576847076,-27.148845672607422,1
44,36629,-909.0,909,0.30403000000032065,0.040769062936306,-27.772899627685547,1
45,37041,-412.0,412,0.29620200000032426,0.04450887069106102,-28.093914031982422,1
46,37363,-322.0,322,0.2900840000003271,0.01833098754286766,-28.11643409729004,1
47,37702,-339.0,339,0.28364300000033005,0.02965710312128067,-28.795204162597656,1
48,37961,-259.0,259,0.2787220000003323,1.3898500204086304,-28.45358657836914,1
49,38369,-408.0,408,0.2709700000003359,0.006944202817976475,-29.261207580566406,1
50,38733,-364.0,364,0.2640540000003391,0.03502598777413368,-28.293493270874023,1
51,39123,-390.0,390,0.2566440000003425,0.019142813980579376,-30.41082000732422,1
52,39341,-218.0,218,0.2525020000003444,0.024044346064329147,-30.05520248413086,1
53,39648,-307.0,307,0.24666900000034708,0.021434102207422256,-29.921981811523438,1
54,40111,-463.0,463,0.23787200000035114,0.01319147739559412,-30.924880981445312,1
55,40558,-447.0,447,0.22937900000035505,0.0394306518137455,-30.15287971496582,1
56,40913,-355.0,355,0.22263400000035816,14.252717018127441,-30.681499481201172,1
57,41195,-282.0,282,0.21727600000036063,0.027601860463619232,-31.58932113647461,1
58,41422,-227.0,227,0.2129630000003626,0.006946076638996601,-31.112268447875977,1
59,41932,-510.0,510,0.20327300000036708,0.053043000400066376,-30.957529067993164,1
60,42242,-310.0,310,0.1973830000003698,0.0164710134267807,-31.459491729736328,1
61,42452,-210.0,210,0.19339300000037163,0.07390574365854263,-31.17160415649414,1
62,42721,-269.0,269,0.18828200000037398,0.0111620482057333,-31.935043334960938,1
63,43027,-306.0,306,0.18246800000037666,0.04236766695976257,-32.39853286743164,1
64,43419,-392.0,392,0.1750200000003801,0.0121390912681818,-32.847408294677734,1
65,43661,-242.0,242,0.1704220000003822,0.08616236597299576,-31.913415908813477,1
66,43844,-183.0,183,0.16694500000038381,0.012512818910181522,-32.78152084350586,1
67,44071,-227.0,227,0.1626320000003858,0.042931389063596725,-32.11167907714844,1
68,44308,-237.0,237,0.15812900000038788,0.0351070761680603,-32.16918182373047,1
69,44491,-183.0,183,0.15465200000038948,0.04921657219529152,-32.808780670166016,1
70,44756,-265.0,265,0.1496170000003918,0.019923124462366104,-31.743038177490234,1
71,45017,-261.0,261,0.14465800000039408,0.07857885956764221,-33.40568161010742,1
72,45179,-162.0,162,0.1415800000003955,0.060748156160116196,-33.118797302246094,1
73,45434,-255.0,255,0.13673500000039773,0.16161848604679108,-33.598487854003906,1
74,45653,-219.0,219,0.13257400000039965,0.17924019694328308,-33.49344253540039,1
75,45895,-242.0,242,0.12797600000040177,0.005178009159862995,-32.817138671875,1
76,46062,-167.0,167,0.12480300000040308,0.019019268453121185,-33.53411102294922,1
77,46312,-250.0,250,0.1200530000004018,0.010340210050344467,-33.653900146484375,1
78,46558,-246.0,246,0.11537900000040054,0.04254439100623131,-34.47191619873047,1
79,46810,-252.0,252,0.11059100000039924,0.06288953125476837,-34.064422607421875,1
80,46992,-182.0,182,0.10713300000039831,0.02976015768945217,-33.83869934082031,1
81,47188,-196.0,196,0.10340900000039731,0.022552382200956345,-34.084964752197266,1
82,47358,-170.0,170,0.10017900000039644,0.02643909677863121,-33.95232391357422,1
83,47577,-219.0,219,0.09601800000039531,0.06899704039096832,-33.854644775390625,1
84,47730,-153.0,153,0.09311100000039453,0.0061126770451664925,-33.878658294677734,1
85,47910,-180.0,180,0.08969100000039361,0.05455203354358673,-35.0797119140625,1
86,48174,-264.0,264,0.08467500000039226,0.13589319586753845,-33.112457275390625,1
87,48301,-127.0,127,0.0822620000003916,0.025427572429180145,-33.47943878173828,1
88,48459,-158.0,158,0.0792600000003908,0.006116603501141071,-35.11275863647461,1
89,48593,-134.0,134,0.07671400000039011,0.023200053721666336,-34.71112823486328,1
90,48771,-178.0,178,0.0733320000003892,0.02378033474087715,-33.47956848144531,1
91,48901,-130.0,130,0.07086200000038853,0.01601339504122734,-33.96910858154297,1
92,49061,-160.0,160,0.06782200000038771,0.04546768590807915,-35.04649353027344,1
93,49210,-149.0,149,0.06499100000038695,0.029981397092342377,-34.6819953918457,1
94,49383,-173.0,173,0.06170400000038635,0.012983165681362152,-34.44328308105469,1
95,49501,-118.0,118,0.05946200000038657,0.08874136209487915,-35.06593704223633,1
96,49669,-168.0,168,0.05627000000038687,0.026128580793738365,-34.797088623046875,1
97,49829,-160.0,160,0.05323000000038716,0.029743336141109467,-35.2559928894043,1
98,49975,-146.0,146,0.05045600000038743,0.1322229504585266,-33.533912658691406,1
99,50205,-230.0,230,0.05,0,0,1
100,50331,-126.0,126,0.05,0,0,1
101,51206,-875.0,875,0.05,0.06659120321273804,-36.793617248535156,1
102,51442,-236.0,236,0.05,0.012217777781188488,-36.65507507324219,1
103,51661,-219.0,219,0.05,0.09178991615772247,-36.739723205566406,1
104,51805,-144.0,144,0.05,0.01014498807489872,-36.730751037597656,1
105,52052,-247.0,247,0.05,0.04566346853971481,-36.86463165283203,1
106,52229,-177.0,177,0.05,0.024945493787527084,-35.269248962402344,1
107,52427,-198.0,198,0.05,0.014390657655894756,-36.39284896850586,1
108,52629,-202.0,202,0.05,0.1314193159341812,-36.25849914550781,1
109,52845,-216.0,216,0.05,0.011654248461127281,-36.21622848510742,1
110,52962,-117.0,117,0.05,18.560314178466797,-36.223594665527344,1
111,53117,-155.0,155,0.05,0.6471339464187622,-35.29566192626953,1
112,53247,-130.0,130,0.05,0.1177964136004448,-35.92209243774414,1
113,53416,-169.0,169,0.05,0.00878356397151947,-37.533790588378906,1
114,53602,-186.0,186,0.05,0.02983967401087284,-37.05201721191406,1
115,53767,-165.0,165,0.05,0.012995348311960697,-36.87269592285156,1
116,53883,-116.0,116,0.05,0.08438298106193542,-36.74237060546875,1
117,54052,-169.0,169,0.05,0.08994156122207642,-37.63500213623047,1
118,54186,-134.0,134,0.05,0.065853551030159,-36.783538818359375,1
119,54300,-114.0,114,0.05,0.029573509469628334,-37.8729248046875,1
120,54448,-148.0,148,0.05,0.11215770244598389,-36.78468322753906,1
121,54595,-147.0,147,0.05,0.029196444898843765,-37.25876998901367,1
122,54771,-176.0,176,0.05,0.1087636649608612,-36.42385482788086,1
123,54974,-203.0,203,0.05,0.049619924277067184,-38.220489501953125,1
124,55172,-198.0,198,0.05,0.015468830242753029,-36.375885009765625,1
125,55321,-149.0,149,0.05,0.024806687608361244,-38.08082580566406,1
126,55551,-230.0,230,0.05,0.056048523634672165,-35.9197883605957,1
127,55684,-133.0,133,0.05,0.011543980799615383,-37.77189254760742,1
128,55811,-127.0,127,0.05,0.0100580845028162,-36.360435485839844,1
129,55975,-164.0,164,0.05,17.859027862548828,-38.11848449707031,1
130,56126,-151.0,151,0.05,0.08913285285234451,-39.53489685058594,1
131,56277,-151.0,151,0.05,0.01627456583082676,-39.5045166015625,1
132,56420,-143.0,143,0.05,0.025055915117263794,-37.29356002807617,1
133,56614,-194.0,194,0.05,0.010431649163365364,-38.43084716796875,1
134,56761,-147.0,147,0.05,0.08371524512767792,-38.009666442871094,1
135,56918,-157.0,157,0.05,0.1227574348449707,-37.037288665771484,1
136,57103,-185.0,185,0.05,0.1438204050064087,-38.361392974853516,1
137,57250,-147.0,147,0.05,0.025163255631923676,-39.87873077392578,1
138,57443,-193.0,193,0.05,0.13480406999588013,-37.38853454589844,1
139,57606,-163.0,163,0.05,0.024223575368523598,-38.86882019042969,1
140,57843,-237.0,237,0.05,0.023413673043251038,-39.46739196777344,1
141,58013,-170.0,170,0.05,0.08054274320602417,-38.511688232421875,1
142,58214,-201.0,201,0.05,0.06671255826950073,-37.84621047973633,1
143,58426,-212.0,212,0.05,0.057666927576065063,-37.20362854003906,1
144,58607,-181.0,181,0.05,0.024006735533475876,-38.22178649902344,1
145,58735,-128.0,128,0.05,0.27961745858192444,-37.91278839111328,1
146,58904,-169.0,169,0.05,0.15271131694316864,-38.99212646484375,1
147,59142,-238.0,238,0.05,0.02719023823738098,-38.409149169921875,1
148,59394,-252.0,252,0.05,0.2718311846256256,-37.644447326660156,1
149,59583,-189.0,189,0.05,0.022473584860563278,-37.55552673339844,1
150,59802,-219.0,219,0.05,0.013776949606835842,-38.851661682128906,1
151,59919,-117.0,117,0.05,0.2878171503543854,-37.56515121459961,1
152,60074,-155.0,155,0.05,0.015057936310768127,-38.97456359863281,1
153,60186,-112.0,112,0.05,0.03993362560868263,-38.51829147338867,1
154,60364,-178.0,178,0.05,0.05330577865242958,-38.1997184753418,1
155,60533,-169.0,169,0.05,0.02047451213002205,-38.49036407470703,1
156,60763,-230.0,230,0.05,0.025469722226262093,-37.9351806640625,1
157,60928,-165.0,165,0.05,0.016651270911097527,-37.99993133544922,1
158,61078,-150.0,150,0.05,0.12056701630353928,-40.14052963256836,1
159,61257,-179.0,179,0.05,0.010484985075891018,-38.20235824584961,1
160,61397,-140.0,140,0.05,0.06691128015518188,-39.84016418457031,1
161,61535,-138.0,138,0.05,0.024629320949316025,-39.197593688964844,1
162,61697,-162.0,162,0.05,0.013888667337596416,-38.901344299316406,1
163,61843,-146.0,146,0.05,0.014688864350318909,-37.57136917114258,1
164,62054,-211.0,211,0.05,0.04525362700223923,-40.19942092895508,1
165,62283,-229.0,229,0.05,0.01524642575532198,-39.030616760253906,1
166,62431,-148.0,148,0.05,0.07135619223117828,-38.664039611816406,1
167,62592,-161.0,161,0.05,0.10285566747188568,-37.45964813232422,1
168,62770,-178.0,178,0.05,0.012497367337346077,-39.73139190673828,1
169,62926,-156.0,156,0.05,0.026389561593532562,-38.4836540222168,1
170,63085,-159.0,159,0.05,0.03205078840255737,-38.26186752319336,1
171,63247,-162.0,162,0.05,0.09219074994325638,-38.047142028808594,1
172,63360,-113.0,113,0.05,0.11645019054412842,-39.36151123046875,1
173,63477,-117.0,117,0.05,0.027233781293034554,-38.94527053833008,1
174,63626,-149.0,149,0.05,0.159385085105896,-40.53466033935547,1
175,63815,-189.0,189,0.05,0.031168267130851746,-38.562232971191406,1
176,64010,-195.0,195,0.05,0.18539896607398987,-39.487876892089844,1
177,64183,-173.0,173,0.05,0.49428701400756836,-40.56745147705078,1
178,64343,-160.0,160,0.05,0.09844844043254852,-39.72657775878906,1
179,64507,-164.0,164,0.05,0.035962507128715515,-39.46661376953125,1
180,64617,-110.0,110,0.05,0.0891081839799881,-38.68251037597656,1
181,64725,-108.0,108,0.05,0.08775795251131058,-38.425262451171875,1
182,64904,-179.0,179,0.05,0.026553258299827576,-40.41661071777344,1
183,65051,-147.0,147,0.05,0.2050935924053192,-38.583744049072266,1
184,65228,-177.0,177,0.05,0.20115551352500916,-38.82004165649414,1
185,65398,-170.0,170,0.05,0.027269672602415085,-39.439754486083984,1
186,65553,-155.0,155,0.05,0.057683732360601425,-38.863243103027344,1
187,65709,-156.0,156,0.05,0.028238996863365173,-40.76643753051758,1
188,65859,-150.0,150,0.05,0.03300584480166435,-37.724082946777344,1
189,66026,-167.0,167,0.05,0.07152990996837616,-40.57246780395508,1
190,66167,-141.0,141,0.05,0.1275058537721634,-39.252769470214844,1
191,66322,-155.0,155,0.05,0.06375761330127716,-40.56401062011719,1
192,66525,-203.0,203,0.05,0.09553399682044983,-39.626220703125,1
193,66680,-155.0,155,0.05,0.07163216173648834,-39.692806243896484,1
194,66821,-141.0,141,0.05,0.014732960611581802,-40.651424407958984,1
195,67007,-186.0,186,0.05,0.04905158281326294,-41.831146240234375,1
196,67151,-144.0,144,0.05,0.0363432839512825,-42.242958068847656,1
197,67302,-151.0,151,0.05,0.02192557044327259,-39.93563461303711,1
198,67438,-136.0,136,0.05,0.16892662644386292,-40.06244659423828,1
199,67616,-178.0,178,0.05,0.06216030940413475,-38.89308166503906,1
200,67852,-236.0,236,0.05,0.06029977649450302,-40.16877746582031,1
201,68017,-165.0,165,0.05,0.1873740404844284,-41.82568359375,1
202,68214,-197.0,197,0.05,0.12117419391870499,-41.7595329284668,1
203,68430,-216.0,216,0.05,0.03570208325982094,-42.295772552490234,1
204,68576,-146.0,146,0.05,0.47337183356285095,-40.3038215637207,1
205,68728,-152.0,152,0.05,0.03313237428665161,-42.382484436035156,1
206,68920,-192.0,192,0.05,0.04262059926986694,-40.52908706665039,1
207,69067,-147.0,147,0.05,0.05434908717870712,-39.14527130126953,1
208,69219,-152.0,152,0.05,0.02571910247206688,-41.919837951660156,1
209,69388,-169.0,169,0.05,0.1750926673412323,-39.60575866699219,1
210,69564,-176.0,176,0.05,0.03382059931755066,-38.57097625732422,1
211,69733,-169.0,169,0.05,0.019127165898680687,-41.28855895996094,1
212,69941,-208.0,208,0.05,0.05057772621512413,-41.39241027832031,1
213,70192,-251.0,251,0.05,0.04660358279943466,-39.99909210205078,1
214,70389,-197.0,197,0.05,0.048775408416986465,-41.71226501464844,1
215,70524,-135.0,135,0.05,0.07384796440601349,-42.03929901123047,1
216,70726,-202.0,202,0.05,0.04866299033164978,-41.77423095703125,1
217,70961,-235.0,235,0.05,0.0676892101764679,-38.068023681640625,1
218,71131,-170.0,170,0.05,0.06391611695289612,-40.260711669921875,1
219,71280,-149.0,149,0.05,0.02276996150612831,-39.25172424316406,1
220,71526,-246.0,246,0.05,0.06928161531686783,-41.941566467285156,1
221,71722,-196.0,196,0.05,0.27146995067596436,-40.373416900634766,1
222,71895,-173.0,173,0.05,0.05091423541307449,-39.68001937866211,1
223,72124,-229.0,229,0.05,0.10944308340549469,-39.903377532958984,1
224,72598,-474.0,474,0.05,0.04673190414905548,-43.573822021484375,1
225,72801,-203.0,203,0.05,0.04446415603160858,-41.39555358886719,1
226,73228,-427.0,427,0.05,0.045972973108291626,-41.26853942871094,1
227,73526,-298.0,298,0.05,0.1868273913860321,-38.521297454833984,1
228,73949,-423.0,423,0.05,0.03138123080134392,-42.79651641845703,1
229,74189,-240.0,240,0.05,0.06199385225772858,-39.95280456542969,1
230,74938,-749.0,749,0.05,0.07216659188270569,-41.082786560058594,1
231,75173,-235.0,235,0.05,0.07723603397607803,-43.578346252441406,1
232,75480,-307.0,307,0.05,0.059329207986593246,-42.48747253417969,1
233,75681,-201.0,201,0.05,0.05128810554742813,-44.88765335083008,1
234,75954,-273.0,273,0.05,0.025492217391729355,-43.45149612426758,1
235,76808,-854.0,854,0.05,0.11302898824214935,-38.97566604614258,1
236,77034,-226.0,226,0.05,0.3100908398628235,-43.65613555908203,1
237,77320,-286.0,286,0.05,0.13466808199882507,-42.15155029296875,1
238,77595,-275.0,275,0.05,0.06619760394096375,-43.59176254272461,1
239,78069,-474.0,474,0.05,0.03652471303939819,-45.640281677246094,1
240,78395,-326.0,326,0.05,0.019963793456554413,-43.774620056152344,1
241,78876,-481.0,481,0.05,0.03500550240278244,-42.224578857421875,1
242,79171,-295.0,295,0.05,0.11727554351091385,-42.90913009643555,1
243,79349,-178.0,178,0.05,0.057947248220443726,-41.68693542480469,1
244,79725,-376.0,376,0.05,0.03449300304055214,-44.428611755371094,1
245,80051,-326.0,326,0.05,0.039548225700855255,-45.85193634033203,1
246,80214,-163.0,163,0.05,0.04738748073577881,-45.10595703125,1
247,80458,-244.0,244,0.05,0.09611566364765167,-45.570587158203125,1
248,80724,-266.0,266,0.05,0.024547692388296127,-45.36219787597656,1
249,80952,-228.0,228,0.05,0.040025919675827026,-43.14366912841797,1
250,81202,-250.0,250,0.05,0.03643980994820595,-45.33738708496094,1
251,81329,-127.0,127,0.05,0.0950741246342659,-45.77644348144531,1
252,81489,-160.0,160,0.05,0.07399381697177887,-42.840267181396484,1
253,81821,-332.0,332,0.05,0.06232362613081932,-43.147735595703125,1
254,82080,-259.0,259,0.05,0.9285684823989868,-44.74504089355469,1
255,82236,-156.0,156,0.05,0.02542027086019516,-43.662391662597656,1
256,82518,-282.0,282,0.05,0.059029221534729004,-42.78185272216797,1
257,82672,-154.0,154,0.05,0.07456713914871216,-42.993141174316406,1
258,82830,-158.0,158,0.05,0.03684566915035248,-42.158592224121094,1
259,83092,-262.0,262,0.05,0.03273812681436539,-43.2325325012207,1
260,83301,-209.0,209,0.05,0.2855730652809143,-41.98423385620117,1
261,83481,-180.0,180,0.05,0.05742160230875015,-44.31764602661133,1
262,83654,-173.0,173,0.05,0.034764572978019714,-43.05574035644531,1
263,83876,-222.0,222,0.05,0.14129874110221863,-41.32557678222656,1
264,84052,-176.0,176,0.05,0.13344094157218933,-39.634925842285156,1
265,84236,-184.0,184,0.05,0.052178189158439636,-43.611717224121094,1
266,84468,-232.0,232,0.05,0.06799682229757309,-45.15629577636719,1
267,84636,-168.0,168,0.05,0.0421898290514946,-46.862701416015625,1
268,84923,-287.0,287,0.05,0.21139831840991974,-46.87024688720703,1
269,85085,-162.0,162,0.05,0.12183113396167755,-46.6468505859375,1
270,85253,-168.0,168,0.05,0.08037067204713821,-45.089237213134766,1
271,85488,-235.0,235,0.05,0.07660532742738724,-46.790794372558594,1
272,85674,-186.0,186,0.05,0.1459866166114807,-43.991798400878906,1
273,85844,-170.0,170,0.05,0.0948130339384079,-44.80377197265625,1
274,85930,-86.0,86,0.05,0.039907123893499374,-45.026153564453125,1
275,86111,-181.0,181,0.05,0.05219656229019165,-46.17090606689453,1
276,86282,-171.0,171,0.05,0.07548832893371582,-47.16163635253906,1
277,86402,-120.0,120,0.05,0.06789875775575638,-42.21303939819336,1
278,86672,-270.0,270,0.05,0.06088460236787796,-41.61063766479492,1
279,86876,-204.0,204,0.05,0.13051246106624603,-44.436737060546875,1
280,87054,-178.0,178,0.05,0.23378115892410278,-45.77961730957031,1
281,87223,-169.0,169,0.05,0.1712483912706375,-47.20866775512695,1
282,87356,-133.0,133,0.05,0.07288720458745956,-43.04296112060547,1
283,87538,-182.0,182,0.05,0.060667119920253754,-42.132049560546875,1
284,87730,-192.0,192,0.05,0.07965435087680817,-46.95130157470703,1
285,87917,-187.0,187,0.05,0.04756269231438637,-47.509986877441406,1
286,88034,-117.0,117,0.05,0.20471933484077454,-43.42827606201172,1
287,88196,-162.0,162,0.05,0.11122167110443115,-44.787357330322266,1
288,88456,-260.0,260,0.05,0.21468418836593628,-44.30687713623047,1
